"age","workclass","education","maritalstatus","occupation","relationship","race","sex","capitalgain","capitalloss","hoursperweek","over50k"
27," Private"," Bachelors"," Never-married"," Handlers-cleaners"," Not-in-family"," Black"," Male",0,0,40," <=50K"
46," Private"," Assoc-voc"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," >50K"
40," Private"," HS-grad"," Never-married"," Exec-managerial"," Not-in-family"," Amer-Indian-Eskimo"," Male",6849,0,43," <=50K"
34," Private"," 7th-8th"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,40," <=50K"
37," Private"," 5th-6th"," Separated"," Farming-fishing"," Not-in-family"," White"," Male",0,0,32," <=50K"
20," Private"," HS-grad"," Divorced"," Sales"," Not-in-family"," Black"," Female",0,0,40," <=50K"
37," Private"," Some-college"," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," <=50K"
52," Private"," HS-grad"," Separated"," Other-service"," Other-relative"," White"," Female",0,0,20," <=50K"
67," Private"," Some-college"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1844,70," <=50K"
24," Private"," HS-grad"," Separated"," Other-service"," Unmarried"," White"," Female",0,0,50," >50K"
41," Private"," Some-college"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," <=50K"
57," State-gov"," Bachelors"," Divorced"," Adm-clerical"," Unmarried"," White"," Male",2174,0,37," <=50K"
26," Private"," Bachelors"," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," <=50K"
29," Private"," Bachelors"," Never-married"," Sales"," Not-in-family"," White"," Female",13550,0,35," >50K"
21," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",0,0,40," <=50K"
38," Private"," Bachelors"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," >50K"
26," Private"," HS-grad"," Never-married"," Craft-repair"," Other-relative"," White"," Male",2597,0,40," <=50K"
46," Private"," Assoc-acdm"," Widowed"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," <=50K"
18," Private"," 10th"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,20," <=50K"
35," Private"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," >50K"
20," ?"," Some-college"," Never-married"," ?"," Own-child"," White"," Male",0,0,40," <=50K"
19," Local-gov"," HS-grad"," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,35," <=50K"
42," Private"," HS-grad"," Divorced"," Exec-managerial"," Own-child"," White"," Male",0,0,40," <=50K"
69," Self-emp-not-inc"," Some-college"," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,15," <=50K"
29," Private"," Some-college"," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,65," <=50K"
34," ?"," Assoc-voc"," Married-civ-spouse"," ?"," Husband"," White"," Male",3103,0,60," >50K"
36," Private"," Assoc-acdm"," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,40," <=50K"
37," Private"," Some-college"," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",0,0,30," <=50K"
36," State-gov"," HS-grad"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",7298,0,40," >50K"
45," Private"," Assoc-acdm"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,66," <=50K"
36," State-gov"," Bachelors"," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,1876,44," <=50K"
44," Private"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,45," <=50K"
25," Private"," HS-grad"," Never-married"," Tech-support"," Not-in-family"," Black"," Female",0,0,40," <=50K"
48," Private"," 9th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,44," <=50K"
63," Private"," Some-college"," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,22," <=50K"
19," Private"," 10th"," Never-married"," Other-service"," Other-relative"," Black"," Female",0,0,20," <=50K"
42," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,16," <=50K"
64," Private"," Some-college"," Widowed"," Sales"," Not-in-family"," White"," Female",0,0,40," <=50K"
25," Private"," Some-college"," Never-married"," Other-service"," Own-child"," White"," Female",0,0,40," <=50K"
26," Private"," HS-grad"," Never-married"," Protective-serv"," Not-in-family"," Black"," Female",0,0,32," <=50K"
41," Local-gov"," Some-college"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," >50K"
20," Private"," HS-grad"," Never-married"," Transport-moving"," Other-relative"," Black"," Male",0,0,45," <=50K"
23," Private"," Some-college"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,10," <=50K"
53," Private"," 9th"," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," <=50K"
56," Private"," Masters"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," <=50K"
43," Self-emp-not-inc"," Bachelors"," Never-married"," Prof-specialty"," Unmarried"," White"," Female",0,0,50," <=50K"
24," Private"," Bachelors"," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," <=50K"
23," State-gov"," HS-grad"," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,40," <=50K"
41," Private"," Bachelors"," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,38," <=50K"
24," Private"," Assoc-acdm"," Never-married"," Sales"," Own-child"," White"," Female",0,0,37," <=50K"
29," Private"," Masters"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," >50K"
23," Private"," Assoc-acdm"," Never-married"," Other-service"," Own-child"," White"," Male",0,0,25," <=50K"
26," Private"," Assoc-voc"," Never-married"," Prof-specialty"," Own-child"," Other"," Female",0,0,60," <=50K"
53," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,1902,40," >50K"
43," Federal-gov"," Masters"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",5013,0,12," <=50K"
45," Private"," Masters"," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," >50K"
43," Local-gov"," Masters"," Married-civ-spouse"," Prof-specialty"," Wife"," Black"," Female",0,0,35," >50K"
19," Self-emp-inc"," Some-college"," Never-married"," Other-service"," Own-child"," Asian-Pac-Islander"," Female",0,0,35," <=50K"
42," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,12," <=50K"
33," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,30," <=50K"
29," Private"," 9th"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," <=50K"
38," ?"," 7th-8th"," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,45," <=50K"
19," ?"," HS-grad"," Never-married"," ?"," Own-child"," Black"," Female",0,0,25," <=50K"
22," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," <=50K"
33," Private"," Some-college"," Never-married"," Exec-managerial"," Own-child"," Asian-Pac-Islander"," Male",0,0,40," <=50K"
27," Private"," Assoc-acdm"," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," <=50K"
43," State-gov"," Some-college"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," <=50K"
63," Private"," 9th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,16," <=50K"
42," Private"," Assoc-voc"," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," <=50K"
49," Private"," 7th-8th"," Never-married"," Prof-specialty"," Other-relative"," Black"," Male",0,0,45," <=50K"
21," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," <=50K"
22," Private"," Some-college"," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,50," <=50K"
48," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",3103,0,46," >50K"
45," Self-emp-not-inc"," Some-college"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,55," <=50K"
18," Private"," 12th"," Never-married"," Sales"," Own-child"," Black"," Female",0,0,15," <=50K"
22," Private"," HS-grad"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,60," <=50K"
22," Private"," HS-grad"," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,37," <=50K"
58," Private"," 1st-4th"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," <=50K"
19," ?"," 11th"," Never-married"," ?"," Own-child"," White"," Female",0,0,30," <=50K"
68," ?"," HS-grad"," Widowed"," ?"," Not-in-family"," White"," Female",0,0,12," <=50K"
46," Private"," Masters"," Widowed"," Prof-specialty"," Not-in-family"," White"," Female",0,0,44," <=50K"
23," Private"," Some-college"," Never-married"," Handlers-cleaners"," Unmarried"," Amer-Indian-Eskimo"," Female",0,0,35," <=50K"
44," Private"," 10th"," Never-married"," Farming-fishing"," Unmarried"," White"," Male",0,0,35," <=50K"
42," Private"," Masters"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",4650,0,40," <=50K"
62," ?"," Some-college"," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,1," <=50K"
76," ?"," 5th-6th"," Widowed"," ?"," Unmarried"," White"," Female",0,0,40," <=50K"
29," Private"," 12th"," Married-spouse-absent"," Other-service"," Not-in-family"," Black"," Female",0,0,40," <=50K"
29," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," <=50K"
51," Local-gov"," HS-grad"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," >50K"
41," Federal-gov"," Assoc-acdm"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," >50K"
42," Self-emp-not-inc"," Prof-school"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," >50K"
37," Federal-gov"," HS-grad"," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,40," <=50K"
34," Private"," 11th"," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,40," <=50K"
18," State-gov"," Some-college"," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,10," <=50K"
19," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Other-relative"," White"," Male",0,0,40," <=50K"
22," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Male",0,0,8," <=50K"
32," Private"," Some-college"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,50," <=50K"
68," State-gov"," Doctorate"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,2377,60," >50K"
19," Private"," 12th"," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," <=50K"
37," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," >50K"
38," Federal-gov"," Some-college"," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,38," <=50K"
24," Private"," HS-grad"," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," <=50K"
28," Federal-gov"," 10th"," Married-civ-spouse"," Other-service"," Wife"," Amer-Indian-Eskimo"," Female",0,0,40," <=50K"
43," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," <=50K"
42," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," <=50K"
28," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Sales"," Wife"," White"," Female",0,0,40," <=50K"
31," Private"," HS-grad"," Separated"," Other-service"," Unmarried"," Black"," Female",0,0,40," <=50K"
49," ?"," 10th"," Separated"," ?"," Own-child"," White"," Male",2176,0,40," <=50K"
34," Private"," Assoc-acdm"," Separated"," Other-service"," Unmarried"," White"," Female",0,0,40," <=50K"
65," ?"," 10th"," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,70," <=50K"
47," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," >50K"
38," Private"," Bachelors"," Divorced"," Prof-specialty"," Unmarried"," Black"," Female",15020,0,45," >50K"
67," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",9386,0,24," >50K"
30," Private"," HS-grad"," Married-spouse-absent"," Adm-clerical"," Not-in-family"," White"," Female",0,0,30," <=50K"
36," Private"," HS-grad"," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,35," <=50K"
60," Private"," 1st-4th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," >50K"
20," Private"," Some-college"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,30," <=50K"
67," Private"," HS-grad"," Widowed"," Sales"," Not-in-family"," White"," Female",0,0,32," <=50K"
29," Private"," HS-grad"," Never-married"," Exec-managerial"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,40," <=50K"
39," Private"," 11th"," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",2635,0,37," <=50K"
18," Private"," 11th"," Never-married"," Sales"," Own-child"," White"," Female",0,0,25," <=50K"
35," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," >50K"
21," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Female",0,0,15," <=50K"
52," Private"," Doctorate"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,57," >50K"
43," Federal-gov"," Bachelors"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,53," <=50K"
39," Private"," 9th"," Married-civ-spouse"," Other-service"," Wife"," Black"," Female",3411,0,34," <=50K"
44," Private"," Bachelors"," Divorced"," Prof-specialty"," Unmarried"," Black"," Male",0,0,40," <=50K"
58," Private"," Doctorate"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," >50K"
22," Private"," Some-college"," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," <=50K"
58," Private"," HS-grad"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," <=50K"
53," Self-emp-not-inc"," 7th-8th"," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,99," <=50K"
18," Private"," 11th"," Never-married"," Other-service"," Own-child"," Amer-Indian-Eskimo"," Male",0,0,20," <=50K"
22," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Own-child"," Amer-Indian-Eskimo"," Male",0,0,40," <=50K"
25," Private"," Bachelors"," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," <=50K"
29," Private"," Some-college"," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," <=50K"
27," Private"," HS-grad"," Never-married"," Handlers-cleaners"," Other-relative"," Black"," Male",0,0,48," <=50K"
18," Private"," 12th"," Never-married"," Sales"," Own-child"," White"," Female",0,0,8," <=50K"
62," Private"," 5th-6th"," Married-civ-spouse"," Farming-fishing"," Husband"," Asian-Pac-Islander"," Male",0,0,40," <=50K"
22," Private"," HS-grad"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,42," <=50K"
63," Self-emp-inc"," Assoc-voc"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," >50K"
27," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,35," <=50K"
20," Private"," HS-grad"," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,38," <=50K"
24," Private"," Some-college"," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," <=50K"
41," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,56," >50K"
24," Federal-gov"," Bachelors"," Never-married"," Prof-specialty"," Not-in-family"," Other"," Female",0,0,40," <=50K"
57," Private"," Some-college"," Separated"," Sales"," Not-in-family"," White"," Female",0,0,40," <=50K"
22," Private"," Bachelors"," Never-married"," Prof-specialty"," Unmarried"," White"," Male",0,0,20," <=50K"
55," Self-emp-not-inc"," 9th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," <=50K"
24," Private"," 11th"," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," <=50K"
45," Private"," 10th"," Divorced"," Other-service"," Unmarried"," Black"," Female",0,0,40," <=50K"
38," Private"," Some-college"," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,43," <=50K"
43," Private"," HS-grad"," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",594,0,16," <=50K"
33," Private"," Masters"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," <=50K"
19," Local-gov"," HS-grad"," Never-married"," Craft-repair"," Other-relative"," Black"," Female",0,0,40," <=50K"
30," Private"," Bachelors"," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," <=50K"
30," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," <=50K"
38," Private"," Assoc-voc"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",4386,0,40," >50K"
35," Private"," 7th-8th"," Widowed"," Other-service"," Unmarried"," White"," Female",0,0,80," <=50K"
29," Private"," HS-grad"," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,40," <=50K"
22," Private"," Some-college"," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," <=50K"
41," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,60," <=50K"
40," Private"," Bachelors"," Separated"," Adm-clerical"," Unmarried"," Black"," Male",0,0,35," <=50K"
60," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," <=50K"
35," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," >50K"
47," Private"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,45," <=50K"
28," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," <=50K"
53," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," <=50K"
30," Private"," Bachelors"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," >50K"
65," Private"," Some-college"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,27," <=50K"
57," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,72," <=50K"
29," State-gov"," Some-college"," Never-married"," Protective-serv"," Not-in-family"," White"," Male",0,0,36," <=50K"
29," Federal-gov"," Assoc-acdm"," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," <=50K"
35," Self-emp-inc"," Assoc-acdm"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,1887,45," >50K"
19," ?"," Some-college"," Never-married"," ?"," Own-child"," White"," Male",0,0,10," <=50K"
54," State-gov"," Doctorate"," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," >50K"
21," Private"," HS-grad"," Never-married"," Protective-serv"," Own-child"," Black"," Male",0,0,40," <=50K"
26," Private"," Bachelors"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," <=50K"
33," Local-gov"," HS-grad"," Widowed"," Other-service"," Unmarried"," White"," Female",0,0,40," <=50K"
37," Private"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," >50K"
30," Private"," Assoc-voc"," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,53," <=50K"
50," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,45," >50K"
33," Private"," Assoc-voc"," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,55," >50K"
55," Self-emp-not-inc"," Assoc-acdm"," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," <=50K"
40," Private"," 9th"," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,45," <=50K"
46," Private"," Some-college"," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," >50K"
35," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," >50K"
62," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," <=50K"
54," Self-emp-inc"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,60," >50K"
26," Private"," Some-college"," Never-married"," Other-service"," Own-child"," Black"," Female",0,0,50," <=50K"
47," State-gov"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," >50K"
24," Private"," Assoc-acdm"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," <=50K"
45," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," >50K"
47," Private"," Some-college"," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,50," >50K"
19," Private"," HS-grad"," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," <=50K"
58," Local-gov"," HS-grad"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," <=50K"
31," Private"," Some-college"," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," <=50K"
41," Private"," Some-college"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,48," >50K"
30," Private"," Assoc-acdm"," Separated"," Other-service"," Unmarried"," White"," Female",0,0,40," <=50K"
38," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," >50K"
70," ?"," HS-grad"," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,28," <=50K"
25," Local-gov"," Some-college"," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," >50K"
53," Self-emp-inc"," HS-grad"," Married-civ-spouse"," Sales"," Husband"," White"," Male",99999,0,40," >50K"
36," Private"," 11th"," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," <=50K"
25," Private"," 11th"," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," <=50K"
